,STATION,ENTRIES_DIFF,EXIT_DIFF,COMBINED,university,tech,rich,total score,color
5,23 ST,95256.74603174604,71732.11111111111,166988.85714285716,True,True,True,7,#1DB91D
6,FULTON ST,81251.20634920635,71720.66666666667,152971.87301587302,False,True,True,3,#1DACD6
9,CANAL ST,63881.93650793651,52640.34920634921,116522.28571428571,False,True,True,3,#1DACD6
12,59 ST,50999.09523809524,44564.333333333336,95563.42857142858,False,True,True,3,#1DACD6
14,14 ST,48140.12698412698,42714.8253968254,90854.95238095238,False,True,True,3,#1DACD6
15,CHAMBERS ST,46580.5873015873,36743.968253968254,83324.55555555556,False,True,True,3,#1DACD6
17,W 4 ST-WASH SQ,38698.22222222222,36147.77777777778,74846.0,True,True,True,7,#1DB91D
20,28 ST,38525.53968253968,34918.80952380953,73444.3492063492,True,True,True,7,#1DB91D
23,145 ST,30920.20634920635,28202.698412698413,59122.90476190476,True,False,False,4,#1DB91D
27,DELANCEY/ESSEX,24621.4126984127,19178.47619047619,43799.88888888889,False,True,True,3,#1DACD6
